ჩეთბოტის,მომხმარებლის
"ძალიან კარგი😍🤗~საქართველოში ყველა გამოცდილმა მეღვინემ და ქვევრის ოსტატმა იცოდა, რომ ღვინოზე უარყოფითი გავლენა შესაძლოა ისეთ ქვევრსაც მოეხდინა, რომელიც, ან არასათანადოდ გამომწვარი, ან არასაკმარისად დამუშავებული და დახარისხებული, ან სულაც დაბინძურებული წყლით მოზელილი იყო.~ასევე გეტყვი, რომ სანამ თიხის ნაწარმი საბოლოო სახეს მიიღებდეს, ძალიან რთულ გზას გადის. სპეციალური მიწა თვითონ სოფლის ტერიტორიაზე მოიპოვება. მეჭურჭლეები ერთმანეთში ურევენ თირს და აყალოს, მისი დაზელვის შემდეგ შესაძლებელია ჩვენთვის სასურველი ფორმა მივცეთ თიხას. როდესაც ჭურჭელი ხმება, მას სპეციალურ ქურაში წვავენ ძალიან მაღალ ტემპერატურაზე 2-3 დღის განმავლობაში და თიხა მზა სახეს იძენს, ხოლო რომელი თიხაც ფერის შეცვლას საჭიროებს მას სპეციალურ საღებავებით ღებავენ.",იმერეთში მეთუნე ოსტატ____იმერეთში მექვევრე ოსტატ____იმერეთის მეთუნე ოსტატ____იმერეთის მექვევრე ოსტატ
"იმერეთში მეთუნე და მექვევრე ოსტატებით განთქმული სოფლებია: შროშა, საწაბლე, მაქათუბანი, ტყემლოვანი, გეზრული, ბოსლევი, ჯოყოეთი, დიდწიფელა, ჩხიროულა, რიონი, ვარციხე. ~იცი? სამეთუნეო ცენტრების არსებობა მარტო სოფლების მიდამოებში შესაფერისი თიხის საბადოებით კი არ განისაზღვრება, არამედ შემოსავლის ახალი წყაროს ძიებითაც🤓.[qr, განაგრძე]",იმერეთში მეთუნე ოსტატ____იმერეთში მექვევრე ოსტატ____იმერეთის მეთუნე ოსტატ____იმერეთის მექვევრე ოსტატ____იმერეთში მექვევრეობის ოსტატი
"დიდი სიამოვნებით😇~კერამიკული წარმოების ცნობილი კერების შემოწმებით დასტურდება, რომ ამ სოფლებში მოსახლეობას ვარგისი მიწის უმნიშვნელო ფართობი ჰქონდა, რის გამოც მიწათმოქმედება საჭირო შემოსავლის მხოლოდ ნაწილს იძლეოდა. ამ გარემოებამ კი კერამიკული წარმოება საქართველოს ზოგიერთ სოფელში ერთ-ერთ მნიშვნელოვან საარსებო წყაროდ გადააქცია.~[link, ბმული(https://www.youtube.com/watch?v=OSXVk3NvOlE&ab_channel=%E1%83%9E%E1%83%98%E1%83%A0%E1%83%95%E1%83%94%E1%83%9A%E1%83%98%E1%83%90%E1%83%A0%E1%83%AE%E1%83%98GeorgianPublicBroadcaster)]",სხვა____ბმული____კიდე____გამომიგზავნე____ვიდეო
"გიგზავნი ბმულს თემაზე=> ეთნოგრაფიული ნარკვევები~[link, კეცი(https://youtu.be/jBYJ3l6aNf0)] 🤓🤗",სხვა____ბმული____კიდე____გამომიგზავნე____ვიდეო
"შემიძლია გესაუბრო თიხის სამშობლოზე, შროშაზე🤓[qr, მესაუბრე, არმინდა]",არა____ნწ____არმინდა
"სიამოვნებით გესაუბრები ამ თემაზე😍~საქართველოში არსებობს მეთუნეობის რამდენიმე უძველესი კერა, მაგრამ მათგან ყველაზე მნიშვნელოვანი შროშაა. საქართველოში იშვიათია სოფელი, რომელსაც ქვეყნის თითქმის ყველა კუთხეში იცნობენ და შროშა სწორედ ასეთი მნიშვნელობის სოფელია.🤓~[img, http://2.bp.blogspot.com/-khtLUbdguWA/UoC5EeWQHXI/AAAAAAAAACo/i6Rt3bvcnLM/s1600/photo+(6).JPG]~მას ბევრი სიმდიდრე მოეპოვება, რომელთაგან ყველაზე მნიშვნელოვანი ისეთი მიწის არსებობაა, რომლისგანაც კერამიკული ნაწარმი მზადდება.[qr, შემდეგ?, კერამიკული წარმოება]",შემდეგ____მერე____განაგრძ
_xDD13__xD83E_სოფელი შროშა განთქმულია თავისი თიხის ნაწარმით და დღესაც ხალხური კერამიკული წარმოების უმნიშვნელოვანესი კერაა საქართველოში. შროშის მოსახლეობის ერთ-ერთ უმთავარეს საქმიანობას მეთუნეობა წარმოადგენდა და წარმოადგენს.~ჭურჭელს გლეხები მიწათმოქმედებისაგან მოუწყვეტლივ მთელი წლის განმავლობაში აწარმოებდნენ და ეს დარგი პროფესიულ დონემდე ჰქონდათ აყვანილი. ხელობის ტრადიცია და საიდუმლო აქ ყველა ოჯახში დაცულია და მამიდან შვილს გადაეცემა.🤓,შემდეგ____მერე____განაგრძ
"კერამიკული წარმოება შროშაში ძირითადად მეჭურჭლეობით და მეჭურეობით არის წარმოდგენილი. ამზადებენ წითელ და მოჭიქულ ჭურჭელს. მოჭიქული ჭურჭლის კეთებას მხოლოდ ერთი გვარი – მოდებაძე მისდევდა.🤓~შროშული ჭურჭელი მორგვზე კეთდებოდა. მოხმარება-დანიშნულების მიხედვით შროშაში მზადდება საღვინე, სანადიმო, საწყლო, სარძევე, სამზარეულო-სახაბაზო, საწყაო, არყის გამოსახდელი ქვაბის თავები – ზარფუშები და სხვადასხვა დანიშნულების თიხის ჭურჭელი. აკეთებდნენ აგრეთვე „ჟინჟღილებს” (მაშხალა).🤓",კერამიკული წარმოება შროშ____შროშის კერამიკული წარმოებ____კერამიკა შროშა____შროშის კერამიკა
"კი ბატონო.~შემიძლია შროშული ჭურჭლის დახასიათებაზე გესაუბრო🤓😇~[img, https://fastly.4sqi.net/img/general/600x600/53797586_ojWcrWQiOG9KF6xeviiV9vvWtFO4FjyRnCGsVISlgMI.jpg]~ნუთუ არც ეს თემა გაინტერესებს?😢[qr, მაინტერესებს, არ მაინტერესებს]",არმინდა____არა____არც
"რა მაგარია, რომ ეს თემა გაინტერესებს😍😍~შროშულ თიხის ჭურჭელს ახასიათებს ფორმების დახვეწილობა, მოხატვა-მოჭრელების მაღალი გემოვნება, მოჭიქვის დროს ფერთა კარგი შეხამება, ფორმისა და ფუნქციის შერწყმა, პრაქტიკულობა. ამ სოფელში ყველანაირი თიხის ჭურჭელი მზადდებოდა, როგორც საკუთარი მოთხოვნილებისათვის, ისე გასაყიდად და შემოსავლის ერთ-ერთი მნიშვნელოვანი წყაროც იყო.~სოფელ შროშაში არსებობდა თიხის ნაწარმის დიდი ბაზრობა და იმერეთის გარდა შროშული ჭურჭელი, ქვევრები და თონეები გადიოდა ქართლში, რაჭასა და სხვა მხარეებში.",მაინტერესებს
"მეთუნეობა საკმაოდ საინტერესო დარგია. დავიწყოთ საუბარი🤓🤗~მეთუნეობასა და სამეთუნეო ნაწარმს უაღრესად ფართო ადგილი უჭირავს ადამიანთა ყოფა-ცხოვრებაში და იგი დაკავშირებულია ადამიანის სამეურნეო საქმიანობის თითქმის ყველა სფეროსთან. მეთუნეობა ქართული ყოფის განუყოფელი ნაწილია და მას ჩვენში მრავალათასწლიანი ისტორია აქვს.🤓~ უხსოვარი დროიდან თიხის ჭურჭელი საოჯახო ყოფის ერთ-ერთ უმთავრეს ელემენტად იქცა. თავდაპირველად ადამიანის მიერ ხელით ნაძერწი თიხის ჭურჭელი ღია ცეცხლზე იწვებოდა, შემდეგ გამოიგონეს სპეციალური ხელსაწყო - სამეთუნეო ჩარხი „მორგვი“, რაზედაც ჭურჭელი კეთდება[qr, ჩარხი, თიხა]",მეთუნეობა იმერეთ____იმერეთში მეთუნეობ____იმერეთის მეთუნე
"ჩარხის, იგივე მორგვის გაჩენამ საკმაოდ შეამსუბუქა ხელოსნის შრომა და მეთუნეობის ტექნიკა თანდათან განვითარდა. ჩვენში მეთუნეობა ხუთ ძირითად დარგად იყოფა. ესენია: მეაგურეობა, მეკრამიტეობა, მეთონეობა, მექვევრეობა და მეჭურჭლეობა.🤓~ხოლო ქართული მეთუნეობის ნაწარმის ძირითადი სახეებია: 1) წყლის ჭურჭელი (დოქი, კოკა); 2) რძის პროდუქტებთან დაკავშირებული ჭურჭელი; 3) მევენახეობასთან დაკავშირებული ჭურჭელი; 4) სამზარეულო ჭურჭელი; 5) ჭურჭელი პურეულისთვის; 6) საამშენებლო კერამიკა (აგური, კრამიტი და სხვა); 7. სპეციალური დანიშნულების საგნები.🤗",მორგვი რა არის____ჩარხი რა არის____რა არის მორგვი____რა არის ჩარხი____რას ნიშნავს მორგვი____რას ნიშნავს ჩარხი
"შინამრეწველობის დარგები იმერეთში საკმაოდ მრავალფეროვანია😇ამისათვის საჭიროა სათითაოდ, თითოეულ დარგზე ვისაუბროთ 🤓ესენია:[qr, თიხის ნაკეთობები, მეთუნეობა, მექვევრეობა, ხის დამუშავება, მეაბრეშუმეობა]",მექვევრეობა იმერეთ____მეჭურეობა იმერეთ____მეჭურეობა რას ნი____რას ნიშნავს მეჭურეობ____რას ნიშნავს მექვევრ____მექვევრეობა რას ნიშნავს
"დასავლეთ საქართველოში ღვინის შესანახ დიდი ზომის თიხის ჭურჭელს ჭურს უწოდებენ. ტერმინი ჭური, აღმოსავლეთ საქართველოში გავრცელებული მსგავსი ჭურჭლის - ქვევრის სინონიმია. საქართველოში დამზადებულ ქვევრთა მოცულობა სხვადასხვაა. მცირე მოცულობის ქვევრს, ქოცო ეწოდებოდა, ხოლო დიდი ზომის ჭურს ჭურჭელს უწოდებენ🤓.~ასევე, გეტყვი რომ საგანგებოდ ამზადებენ ე.წ. «საზედაშე» და «საღვთო» ჭურებს. ზედაშე საღმრთო დანიშნულებისა იყო და ასეთ ქვევრში დაყენებული ღვინო იმ ტაძარში შეიწირებოდა, რომლის სახელზეც იყო ქვევრი ჩაფლული🤗😍~[img, https://allwine.ge/uploads/articles/1_vWWJ0oB.JPG]",ჭური
"აი ასე გამოიყურება~[img, https://allwine.ge/uploads/articles/1_vWWJ0oB.JPG]",ფოტო____სურათ____მანახე____როგორია
"_xDD13__xD83E_იმერეთი ძველთაგანვე მევენახეობის მნიშვნელოვანი ცენტრი იყო, ამიტომ მექვევრეობაც ყველაზე მეტად ამ მხარეში ზემო იმერეთში გავრცელდა. დასავლეთ საქართველოში ჭურის მკეთებელ ხელოსანს «მეჭურე», ხოლო დარგს «მეჭურეობა» ეწოდებოდა. იმერეთში მექვევრეობის რამდენიმე მნიშვნელოვანი კერა არსებობდა. ასეთებია: შროშა, ბოსლევი, დიდწიფელა, ჩხიროული, ნავარძეთი. მაღალხარისხიანი საღვინე ჭურჭლის - ჭურის/ქვევრის დამზადება, ურთულესი საქმეა და წარმატების მისაღწევად მექვევრეს არაერთი ფაქტორის გათვალისწინება უწევს~[img, https://cdn1.img.sputnik-georgia.com/images/23360/55/233605500.jpg]",მექვევრეობა იმერეთ____მეჭურეობა იმერეთ____მეჭურეობა რას ნი____რას ნიშნავს მეჭურეობ____რას ნიშნავს მექვევრ____მექვევრეობა რას ნიშნავს
"_xDD13_   გამომშრალი ქვევრის გამოსაწვავად საქართველოს ყველა მხარეში ოთხკუთხიან და ერთსართულიან ქურას ხმარობენ. ქურაში გამოსაწვავად ქვევრის ჩადგმას სპეციალური ღვედებით შეიარაღებული კაცები ასრულებენ. საშუალო ქურაში გამოსაწვავად, დაახლოებით, 6 ქვევრი და 20-მდე ქოცო ეტევა.~სითხის ჟონვადობის თავიდან ასაცილებლად მიღებული იყო აგრეთვე ქვევრის გაპოხვა - გაცხელებულ ქვევრს შიგნიდან ცვილის სანთელს ან ცხიმს უსვამდნენ. როდესაც ქვევრი დიდი იყომასში ნამჯას ან წალამს ჩაყრიდნენ და ცეცხლს წაუკიდებდნენ, შემდეგ მასში ძროხის, კამეჩის ან ხარის ადუღებულ ქონს ჩაასხამდნენ და გრძელ ჯოხზე დახვეული ტილოთი ქვევრის კედლებს მოუსვამდნენ, ბოლოს კი ჭურჭელს გარედან ცივ წყალს დაასხამდენენ რათა სიმხურვალეს ქონი არ დაეწვა.[qr, ვიდეო]",ვიდეო____მანახე____ბმული____ლინკ
"ნამდვილად საინტერესოა ქვევრის დამზადების წესები და ზოგადად მისი გამოყენება🤓~თანდათანობით განსაზღვრულ სიმაღლეზე ამოყვანილი ქვევრი უკვე მიწაზე იდგმება, სადაც მისი შენება მთავრდება. დიდი ჭურის გასარეცხად კაცი შიგ უნდა ჩავიდეს, ამიტომ მას განიერ ყელს უკეთებენ, რომელად ჩასავალსაც უწოდებენ. ჭურის შენება შრომატევადი საქმეა და სამუშაო პროცესები ზუსტი თანმიმდევრობით მეორდება ყოველი ჭურის აშენებისას.[qr, განაგრძე]",ვიდეო____მანახე____ბმული____ლინკ
"_xDD13__xD83E_გეტყვი რომ ქვევრი ერთჯერად არ შენდება, ხელოსანი მხოლოდ ჭურის ძირს (მისი ქვედა ნაწილს) - «კუნჭულს» ასე ერთ მტკაველამდე მორგვზე გამოძერწავს.~ ძირის შეშრობის შემდეგ ქვევრის კუნჭულს უძრავად ამაგრებდნენ საგანგებო სადგამზე - „სკამზე“ და ქვევრის ხელით შენება ძირის დასადგამზე გრძელდება. 70 სმ სიმაღლის ამოყვანის შემდეგ ხდება მშენებარე ჭურის „დაკუტება-დაბინავება“ ცალკე ადგილზე, სადაც ხდება მისი ეტაპობრივი შენება-ამოყვანა თიხის გუნდების ან „სორსოლებისაგან“.🤓",ვიდეო____მანახე____ბმული____ლინკ
"გიგზავნი ვიდეოს ~[link, მექვევრეები და მარანი(https://youtu.be/pv11LPXiZDQ)]~🤓🤓🤓",ვიდეო____მანახე____ბმული____ლინკ
"დღესდღეობით იმერეთში 53 საკურორტო, გამაჯანსაღებელი და დასასვენებელი ზონაა. 🏕🏞 ~ მათი უმეტესობა მთაგორიანია, სადაც წიწვოვანი და ფოთლოვანი ხეების მრავალი სახეობებია წარმოდგენილი, რაც განაპირობებს ჰაერის გამაჯანსაღებელ თვისებას. 🌳🌲 [qr,ცნობილი კურორტები]",ცნობილი კურორტები
"იმერეთის ცნობილი კუტოტრებია: წყალტუბო, საირმე, ნუნისი, ზეკარი, სიმონეთი, სულორი, საწირე, სამტრედია, ზვარე, ამაღლება, ცხრაჯვარი, ჭოკიანი, გორდი, კვერეთი, გორმაღალა, ქვედა სიმონეთი, ამაღლება.🏕🛣 რომელი გაინტერესებს, რომ დაწვრილებით მოგიყვე მასზე? 🤗",ცნობილი კურორტები
"კურორტი წყალტუბო მდებარეობს წყალტუბოს რაიონში, მდ. წყალტუბოსწყლის ნაპირებთან, ზღვის დონიდან 95 - 120 მ. სიმაღლეზე, ვაკე ადგილას. კლიმატი არის სუბტროპიკული. აქ ზამთარი რბილი და უთოვლოა, ხოლო ზაფხული - ძალიან თბილი და ზომიერად ნოტიო. 😊 [qr, ფლორა, სამკურნალო ადგილები]",სამკურნალო ადგილები
"კურორტი წყალტუბოს ფლორა წარმოდგენილია მარადმწვანე ბუჩქნარითა და ფოთლოვანი (მუხა, წიფელი, რცხილა) ტყეებით. 🌳🌲",ფლორა
"წყალტუბოს ბუნებრივი სამკურნალო ფაქტორებია მინერალური წყლები და კასტრული გამოქვაბულები. 💧🏔 ~აქ არის უნიკალური კარსტული მღვიმეები, რომელთა მიკროკლიმატი ძალიან სასარგებლოა რადიკულიტის, ასთმის, მაღალი წნევის, ნერვული და სხვა დაავადებების სამკურნალოდ. ~ მინერალური წყლების პარკში რამდენიმე აბანო ფუნქციონირებს, სადაც შესაძლებელია სხვადასხვა სამკურნალო პროცედურის ჩატარება. 🤗",სამკურნალო ადგილები
"კურორტი ზეკარი მდებარეობს ბაღდათის რაიონში, მდ. ხანისწყლის ხეობაში. სიმაღლე ზღვის დონიდან - 750-780 მ., რელიეფი კი მთაგორიანია. კლიმატი არის ნესტიანი, სუბტროპიკული. აქ ზამთარი რბილი, თითქმის უთოვლოა, ხოლო ზაფხული - თბილი, ზომიერად ტენიანი. აქაური ფლორა წარმოდგენილია ფართოფოთლოვანი (მუხა, წიფელი) და წიწვიანი (ნაძვი, სოჭი) ტყეებით.🌲🏞 [qr, სამკურნალო ფაქტორები]",სამკურნალო ფაქტორები
"ამ კურორტის ბუნებრივი სამკურნალო ფაქტორებია დაბალი მთის ჰავა და მინერალური წყლები. 💧🏔 ~ კურორდი რეკომენდებულია ქრონიკული ართრიტის, ნეფრიტის, ნევრალგიის, რადიკულიტისა და ნერვული სისტემის ფუნქციური დაავადებების, რევმატიზმის მკურნალობისთვის.",სამკურნალო ფაქტორები
"სამკურნალო წყლის საბადოებით განთქმული ბალნეოლოგიურ-კლიმატური კურორტი საირმე მდებარეობს მესხეთის ქედის ჩრდილოეთ კალთაზე, ზღვის დონიდან 950 მ. სიმაღლეზე მდინარე წაბლარისწყლის ხეობაში, ბაღდათის მუნიციპალიტეტში. ~ საირმე არის ყველაზე დიდი კურორტი ევროპასა და ამიერკავკასიაში 🤗 [qr, საირმის ლეგენდა, სამკურნალო ფაქტორები]",სამკურნალო ფაქტორები
"ხალხში გავრცელებული თქმულებით წყალი დაჭრილ ირმის კვალს ადევნებულმა ძმებმა აღმოაჩინეს. ~ წყარო ჟანგით გადაწითლებულ ქვებზე მოედინებოდა, მის გარშემო კი ყველაფერი მარილს გადაეთეთრებინა. ირმის ჯოგები მარილს და წყალს მორიგეობით ეტანებოდნენ. ამიტომაც იქაურობას საირმე უწოდეს. ~ადგილს ყურადღება მწყემსებმაც მიაქციეს და კიდევ ერთი უჩვეულო რამ აღმოაჩინეს - ირმების წყაროდან დაახლოებით 3 კმ-ის მოშორებით, ერთ ადგილას ბალახი მუდამ მწვანე რჩებოდა. თოვლი არ დებდა, მიწა კი წვიმის მოსვლიდან რამდენიმე წუთში გამშრალი იყო. 🏔🏕",საირმის ლეგენდა
"საირმე არის ერთადერთი კურორტი, სადაც 4 სხვადასხვა სამკურნალო თვისების და 1 თერმული წყარო ამოედინება და მრავალი დაავადების განკურნებაა შესაძლებელი 🤗",სამკურნალო ფაქტორები
"იმერეთის ცნობილი კურორტებია: წყალტუბო, საირმე, ნუნისი, ზეკარი, სიმონეთი, სულორი, საწირე, სამტრედია, ზვარე, ამაღლება, ცხრაჯვარი, ჭოკიანი, გორდი, კვერეთი, გორმაღალა, ქვედა სიმონეთი, ამაღლება.🏕🛣 რომელი გაინტერესებს, რომ დაწვრილებით მოგიყვე მასზე? 🤗",ცხრაჯვარ
"საკურორტო ადგილი ცხრაჯვარი მდებარეობს ტყიბულის რაიონში, ნაქერალას ქედის სამხრეთ ფერდობზე ზღვის დონიდან 1370 მ-ზე ცხრაჯვარის მთაზე. 🏕 ~ რელიეფი არის გორაკ-ბორცვებიანი, კლიმატი – საშუალო მთის ქვედა სარტყლის ჰავა. აქ ზამთარი ცივი და თოვლიანია, ხოლო ზაფხული - ზომიერად თბილი. ფლორა არის ფოთლოვანი (წიფელი, წაბლი და სხვ.) და წიწვოვანი (ნაძვი, სოჭი) ტყეები. [qr, კლიმატი და ჰავა]",ცხრაჯვარ
"ცხრაჯვარის კლიმატი და აქვე მდებარე მღვიმის ჰავა სასარგებლოა არაერთი დაავადების სამკურნალოდ და სარეაბილიტაციოდ: გულ-სისხლძარღვთა სისტემის პათოლოგიები, ნერვული სისტემის ფუნქციური დარღვევები, რკინადეფიციტური ანემია. 🤗",კლიმატი და ჰავა
